English,Transcription,Русский
adult,[ˈædʌlt],взрослый
age,[eɪdʒ],возраст
baby,[ˈbeɪbɪ],малыш
birth,[bɜːθ],рождение
boy,[bɔɪ],мальчик
child,[tʃaɪld],ребенок
childhood,[ˈtʃaɪldhʊd],детство
girl,[ɡɜːl],девочка
human,[ˈhjuːmən],человек
kid,[kɪd],ребенок
life,[laɪf],жизнь
maiden name,[ˈmeɪdn neɪm],девичья фамилия
man,[mæn],мужчина
name,[neɪm],имя
people,[ˈpiːpl],люди
person,[ˈpɜːsn],человек
personality,[ˌpɜːsəˈnæləti],личность
surname,[ˈsɜːneɪm],фамилия
teenager,[ˈtiːneɪdʒə(r)],подросток
woman,[ˈwʊmən],женщина
youth,[juːθ],"молодежь, молодость"
he,[hiː],он
her,[hɜː(r)],ее
him,[hɪm],его (объектн.)
his,[hɪz],его (притяжат.)
I,[aɪ],я
it,[ɪt],оно
my,[maɪ],мой
our,[ˈaʊə(r)],наш
she,[ʃiː],она
their,[ðeə(r)],их (притяжат.)
them,[ðem],их (объектн.)
they,[ðeɪ],они
we,[wiː],мы
arm,[ɑːm],рука
back,[bæk],спина
belly,[ˈbelɪ],живот
blood,[blʌd],кровь
body,[ˈbɒdɪ],тело
bone,[bəʊn],кость
brain,[breɪn],мозг
cheek,[tʃiːk],щека
chest,[tʃest],грудь
chin,[tʃɪn],подбородок
ear,[ɪə(r)],ухо
elbow,[ˈelbəʊ],локоть
eye,[aɪ],глаз
eyebrow,[ˈaɪbraʊ],бровь
eyelash,[ˈaɪlæʃ],ресница
face,[feɪs],лицо
finger,[ˈfɪŋɡə(r)],палец
fist,[fɪst],кулак
foot,[fʊt],ступня
forehead,[ˈfɔːhed],лоб
hair,[heə(r)],волосы
hand,[hænd],кисть руки
heart,[hɑːt],сердце
heel,[hiːl],пятка
hip,[hɪp],бедро
jaw,[dʒɔː],челюсть
kidney,[ˈkɪdni],почка
knee,[niː],колено
leg,[leɡ],нога
lips,[lɪps],губы
little finger,[ˌlɪtl ˈfɪŋɡə(r)],мизинец
liver,[ˈlɪvə(r)],печень
lung,[lʌŋ],легкое
mouth,[maʊθ],рот
muscle,[ˈmʌsl],мышца
nail,[neɪl],ноготь
neck,[nek],шея
nerve,[nɜːv],нерв
nose,[nəʊz],нос
palm,[pɑːm],ладонь
rib,[rɪb],ребро
ring finger,[ˈrɪŋ ˈfɪŋɡə(r)],безымянный палец
skeleton,[ˈskelɪtn],скелет
skin,[skɪn],кожа
skull,[skʌl],череп
stomach,[ˈstʌmək],желудок
throat,[θrəʊt],горло
thumb,[θʌm],большой палец
toe,[təʊ],палец на ноге
tongue,[tʌŋ],язык
tooth,[tuːθ],зуб
wrist,[rɪst],запястье
to be,[biː],быть
to breathe,[briːð],дышать
to hear,[hɪə(r)],слышать
to hold,[həʊld],держать
to lie,[laɪ],лежать
to look,[lʊk],смотреть
to see,[siː],видеть
to sit,[sɪt],сидеть
to speak,[spiːk],говорить
to touch,[tʌtʃ],трогать
to walk,[wɔːk],ходить
attractive,[əˈtræktɪv],привлекательный
bald,[bɔːld],лысый
beard,[bɪəd],борода
beautiful,[ˈbjuːtɪfl],красивый
beauty,[ˈbjuːti],красота
blond,[blɒnd],белокурый
bushy,[ˈbʊʃi],густой (про брови или бороду)
common,[ˈkɒmən],обычный
curly,[ˈkɜːli],кудрявый
cute,[kjuːt],милый
dark,[dɑːk],темный
fair,[feə(r)],белокурый
fat,[fæt],толстый
figure,[ˈfɪɡə(r)],фигура
flush,[flʌʃ],румянец
freckles,[ˈfreklz],веснушки
ginger,[ˈdʒɪndʒə(r)],рыжий
haircut,[ˈheəkʌt],"прическа, стрижка"
height,[haɪt],рост
hooked,[hʊkt],крючковатый (про нос)
moustache,[məˈstɑːʃ],усы
oval,[ˈəʊvəl],овальный
pale,[peɪl],бледный
plump,[plʌmp],пухлый
round,[raʊnd],круглый
short,[ʃɔːt],короткий
slim,[slɪm],"тонкий, стройный"
square,[skweə(r)],квадратный
straight,[streɪt],прямой
tall,[tɔːl],высокий
thin,[θɪn],худой
ugly,[ˈʌɡli],уродливый
wavy,[ˈweɪvi],волнистый
weight,[weɪt],вес
active,[ˈæktɪv],активный
angry,[ˈæŋɡri],злой
blue,[bluː],грустный
boring,[ˈbɔːrɪŋ],скучный
brave,[breɪv],храбрый
calm,[kɑːm],спокойный
careful,[ˈkeəfl],осторожный
character,[ˈkærəktə(r)],характер
cheerful,[ˈtʃɪəfl],радостный
clever,[ˈklevə(r)],умный
confused,[kənˈfjuːzd],сбитый с толку
creative,[kriˈeɪtɪv],"креативный, творческий"
cruel,[ˈkruːəl],жестокий
curious,[ˈkjʊəriəs],любопытный
easy-going,[ˌiːzi ˈɡəʊɪŋ],легкий на подъем
emotional,[ɪˈməʊʃənl],эмоциональный
excited,[ɪkˈsaɪtɪd],взволнованный
fair,[feə(r)],честный
friendly,[ˈfrendli],дружелюбный
